date,IPAM_round,picture,Frag_number,IPAM_file,AOI,tank,PAR,F_value,Fm_value,YII_value
08-Jul-19,round_1,11,42,r1_11_ben.csv,11,T1,0,0.1868,0.5059,0.631
08-Jul-19,round_1,11,42,r1_11_ben.csv,12,T1,0,0.152,0.4064,0.626
08-Jul-19,round_1,12,5,r1_12_ben.csv,1,T1,0,0.1902,0.4711,0.596
08-Jul-19,round_1,12,5,r1_12_ben.csv,2,T1,0,0.1529,0.375,0.592
08-Jul-19,round_1,12,5,r1_12_ben.csv,3,T1,0,0.151,0.3873,0.61
08-Jul-19,round_1,12,96,r1_12_ben.csv,4,T1,0,0.1819,0.4652,0.609
08-Jul-19,round_1,12,96,r1_12_ben.csv,5,T1,0,0.1647,0.4064,0.595
08-Jul-19,round_1,12,96,r1_12_ben.csv,6,T1,0,0.1436,0.3598,0.601
08-Jul-19,round_1,12,80,r1_12_ben.csv,7,T1,0,0.1897,0.4931,0.615
08-Jul-19,round_1,12,80,r1_12_ben.csv,8,T1,0,0.1534,0.4025,0.619
08-Jul-19,round_1,12,80,r1_12_ben.csv,9,T1,0,0.1529,0.4078,0.625
08-Jul-19,round_1,12,94,r1_12_ben.csv,10,T1,0,0.1529,0.4294,0.644
08-Jul-19,round_1,12,94,r1_12_ben.csv,11,T1,0,0.1637,0.4564,0.641
08-Jul-19,round_1,12,94,r1_12_ben.csv,12,T1,0,0.1363,0.3672,0.629
08-Jul-19,round_1,13,56,r1_13_ben.csv,1,T1,0,0.1956,0.4789,0.592
08-Jul-19,round_1,13,56,r1_13_ben.csv,2,T1,0,0.1882,0.4578,0.589
08-Jul-19,round_1,13,56,r1_13_ben.csv,3,T1,0,0.1593,0.3843,0.585
08-Jul-19,round_1,13,68,r1_13_ben.csv,4,T1,0,0.1686,0.4221,0.6
08-Jul-19,round_1,13,68,r1_13_ben.csv,5,T1,0,0.1603,0.4103,0.609
08-Jul-19,round_1,13,68,r1_13_ben.csv,6,T1,0,0.1304,0.3402,0.617
08-Jul-19,round_1,13,60,r1_13_ben.csv,7,T1,0,0.1598,0.4338,0.632
08-Jul-19,round_1,13,60,r1_13_ben.csv,8,T1,0,0.1574,0.4167,0.622
08-Jul-19,round_1,13,60,r1_13_ben.csv,9,T1,0,0.1304,0.3574,0.635
08-Jul-19,round_1,13,40,r1_13_ben.csv,10,T1,0,0.1824,0.4902,0.628
08-Jul-19,round_1,13,40,r1_13_ben.csv,11,T1,0,0.1716,0.4559,0.624
08-Jul-19,round_1,13,40,r1_13_ben.csv,12,T1,0,0.1426,0.3755,0.62
08-Jul-19,round_1,14,86,r1_14_ben.csv,1,T1,0,0.174,0.4426,0.607
08-Jul-19,round_1,14,86,r1_14_ben.csv,2,T1,0,0.1647,0.4118,0.6
08-Jul-19,round_1,14,86,r1_14_ben.csv,3,T1,0,0.1578,0.3975,0.603
08-Jul-19,round_1,14,122,r1_14_ben.csv,4,T1,0,0.2025,0.5113,0.604
08-Jul-19,round_1,14,122,r1_14_ben.csv,5,T1,0,0.1804,0.4618,0.609
08-Jul-19,round_1,14,122,r1_14_ben.csv,6,T1,0,0.1618,0.4284,0.622
08-Jul-19,round_1,14,167,r1_14_ben.csv,7,T1,0,0.1672,0.4123,0.595
08-Jul-19,round_1,14,167,r1_14_ben.csv,8,T1,0,0.1922,0.4554,0.578
