Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Untitled 6,Untitled 7,Untitled 8,Untitled 9,Untitled 10,Untitled 11,Untitled 12,Untitled 13,Untitled 14,Untitled 15
8/7/2019 03:45:11.948,28.005362,28.37174,27.563977,27.504756,24.422753,28.466219,28.042078,27.535211,28.054929,28.032424,27.519491,27.986922,27.508935,25.251873,28.004739,28.040324
8/7/2019 03:50:08.101,27.99733,28.415078,27.550078,27.492495,24.41918,28.440353,28.008148,27.521311,28.019671,28.004542,27.572501,28.035751,27.55983,25.268953,27.985791,28.087974
8/7/2019 03:55:06.313,28.041488,28.460384,27.523557,27.559568,24.409361,28.412783,27.9743,27.491741,27.989102,27.991167,27.55824,28.047979,27.541603,25.288343,28.050864,28.078041
8/7/2019 04:00:10.950,28.004427,28.433141,27.503887,27.566731,24.398822,28.38341,28.014672,27.529736,28.049126,28.079139,27.534145,28.020622,27.516033,25.314307,28.059764,28.058289
8/7/2019 04:05:07.062,27.995609,28.396408,27.498068,27.545619,24.385856,28.419504,28.077205,27.516295,28.045389,28.074648,27.501789,27.986217,27.487922,25.327027,28.024392,28.022196
8/7/2019 04:10:10.242,28.044816,28.395769,27.562158,27.520606,24.381234,28.462285,28.074467,27.487905,28.010951,28.036095,27.491659,28.037341,27.536145,25.349139,27.996117,27.987299
8/7/2019 04:15:07.540,28.010164,28.450483,27.561781,27.490135,24.375693,28.448631,28.045111,27.52908,27.991462,28.00169,27.576812,28.054618,27.568977,25.373004,27.997609,27.994019
8/7/2019 04:20:09.418,27.986659,28.443812,27.544144,27.52295,24.37512,28.414193,28.007902,27.531129,28.050389,27.987446,27.579631,28.019852,27.548291,25.394887,28.061846,28.063977
8/7/2019 04:25:09.622,28.042177,28.40939,27.52077,27.575615,24.364908,28.388328,27.975661,27.506001,28.034063,28.068567,27.548668,27.977595,27.521426,25.366776,28.063239,28.086613
8/7/2019 04:30:08.695,28.013148,28.378034,27.497511,27.561961,24.344239,28.411849,28.018098,27.504002,28.006755,28.063813,27.526507,28.028441,27.4932,25.264412,28.031752,28.069878
8/7/2019 04:35:10.782,27.989413,28.421372,27.524688,27.543029,24.341583,28.457712,28.07845,27.539849,28.007935,28.037489,27.501412,28.051913,27.530129,25.247267,27.993708,28.0418
8/7/2019 04:40:11.436,28.042127,28.453811,27.561437,27.51005,24.341796,28.433453,28.076287,27.519541,28.040947,28.004477,27.510558,28.022638,27.557962,25.246644,28.006771,28.003411
8/7/2019 04:45:12.273,28.000477,28.433944,27.543947,27.478923,24.330749,28.40544,28.038718,27.496872,28.011902,27.983906,27.560371,27.986282,27.530474,25.271149,28.062912,27.986872
8/7/2019 04:50:07.906,28.000117,28.393032,27.524048,27.544324,24.322668,28.380574,27.999084,27.538227,27.990101,28.068698,27.552094,28.032129,27.50092,25.292622,28.053995,28.021737
8/7/2019 04:55:11.648,28.03208,28.37764,27.505772,27.577926,24.319996,28.425683,27.974218,27.509919,28.047897,28.068288,27.522524,28.059535,27.499019,25.307538,28.016737,28.073877
8/7/2019 05:00:08.802,27.99179,28.437731,27.507657,27.569387,24.315833,28.477906,28.046471,27.499363,28.028572,28.035817,27.495232,28.029195,27.550323,25.326437,27.986528,28.068075
8/7/2019 05:05:06.837,28.023572,28.461679,27.548783,27.539128,24.303457,28.454532,28.080827,27.530047,28.003985,28.000461,27.524671,27.983906,27.548553,25.341894,28.025048,28.053257
8/7/2019 05:10:10.748,28.024671,28.43383,27.540079,27.509444,24.293032,28.40785,28.074369,27.516525,28.008706,27.98861,27.565321,28.037538,27.522721,25.370857,28.068452,28.020606
8/7/2019 05:15:12.489,27.988954,28.37964,27.522311,27.493692,24.295524,28.385312,28.031358,27.496626,28.0398,28.073681,27.550914,28.047176,27.491675,25.391494,28.043799,27.993183
8/7/2019 05:20:10.902,28.025621,28.392688,27.502822,27.518967,24.281099,28.418619,27.995625,27.539505,28.000903,28.077057,27.527671,28.022458,27.516705,25.397247,28.008689,27.993396
8/7/2019 05:25:08.828,28.014901,28.446779,27.506346,27.561748,24.276936,28.461465,27.984643,27.523261,27.984955,28.037456,27.495757,27.980414,27.56283,25.299948,27.984168,28.067829
8/7/2019 05:30:11.824,27.993675,28.454516,27.550668,27.548897,24.270478,28.443501,28.053191,27.488676,28.038833,28.002739,27.52154,28.038718,27.549668,25.269297,28.049438,28.084712
8/7/2019 05:35:09.542,28.030785,28.426208,27.540177,27.516492,24.263577,28.417438,28.082319,27.524671,28.029621,27.993331,27.576041,28.04157,27.52513,25.271428,28.064305,28.068567
8/7/2019 05:40:06.918,28.002116,28.380738,27.529179,27.489397,24.253415,28.377558,28.060191,27.530244,27.996002,28.069648,27.557404,28.009083,27.498396,25.283754,28.03203,28.040341
8/7/2019 05:45:11.159,27.995494,28.402391,27.504051,27.528818,24.245383,28.400687,28.027244,27.499101,28.032866,28.056945,27.530326,27.984905,27.52277,25.30244,27.997051,28.008804
8/7/2019 05:50:11.436,28.032112,28.451729,27.502231,27.556831,24.247366,28.460384,27.988692,27.51423,28.044816,28.026277,27.505756,28.061781,27.574943,25.313307,28.002788,27.98248
8/7/2019 05:55:09.910,27.997248,28.448057,27.542046,27.53821,24.242809,28.448025,27.983906,27.528671,28.020409,27.990364,27.494282,28.042865,27.554044,25.339419,28.069173,28.035391
8/7/2019 06:00:06.842,28.011361,28.402883,27.545259,27.512115,24.231204,28.41911,28.057076,27.497625,27.985348,28.012672,27.564895,28.005329,27.524999,25.361383,28.058732,28.087466
8/7/2019 06:05:09.497,28.033063,28.378591,27.518033,27.488561,24.223025,28.382296,28.081057,27.505215,28.040947,28.075369,27.570944,27.984594,27.498035,25.377873,28.022196,28.081499
8/7/2019 06:10:11.964,27.982545,28.408259,27.495773,27.526458,24.21819,28.399588,28.06124,27.537637,28.032866,28.059437,27.543374,28.06478,27.516098,25.400952,27.986692,28.056421
