,Frag_number,Genotype,Recovery_tank,Recovery_notes,Heat_stress_tank,ERL_tank_number,Tank_treatment,Disease_treatment?,D_touch_tank,D_treatment,Jar_allocation,sample_tubes,photos_initial,photo_number,photo_bw_hole,Initial_health,initial_notes,D_touch_tank,Jar_allocation,8aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,9aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,10aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,11aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,12aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,13aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,14aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,15aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,16aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,17aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Frag_number
78,184,CN4,2,ok,8,12,heat,disease,4,disease_slurry,11,152,yes,136,137,healthy,,4,11,healthy,no,,,,,healthy ,,,,,,11,healthy ,,,,,,11,diseased,,,165,166,,11,diseased,yes,205,31,32,CHECK THIS EVENING,11,diseased,,,49,50,check this evening,11,dead,,,49,50,removed,11,dead,na,na,na,na,na,11,dead,na,na,na,na,na,11,dead,na,na,na,na,na,184
140,82,CN4,4,ok,1,1,heat,disease,4,placebo_slurry,12,153,yes,138,139,healthy,,4,12,healthy,no,,,,,healthy ,,,,,,12,healthy ,,,,,,12,healthy ,,,,,,12,healthy ,,,,,,12,healthy ,,,,,,12,healthy ,,,,,,12,healthy ,,,,,,12,healthy ,,,,,,12,healthy ,,334,,,,82
32,149,HS1,1,ok,10,15,heat,disease,4,s_marcscens,13,154,yes,140,141,healthy,,4,13,healthy,no,,,,,healthy ,,,,,,13,healthy ,,,,,,13,diseased,,,167,168,,13,diseased,yes,203,33,34,,13,dead,,,51,52,removed,13,dead,na,na,na,na,na,13,dead,na,na,na,na,na,13,dead,na,na,na,na,na,13,dead,na,na,na,na,na,149
135,169,ML2,4,ok,7,11,ambient,disease,4,placebo_slurry,14,155,yes,142,143,healthy,,4,14,healthy,no,,,,,healthy ,,,,,,14,healthy ,,,,,,14,healthy ,,,,,,14,healthy ,,,,,,14,healthy ,,,,,,14,healthy ,,,,,,14,healthy ,,,,,,14,healthy ,,,,,,14,healthy ,,335,,,,169
21,153,HS1,1,ok,1,1,heat,disease,4,s_marcscens,15,156,yes,144,145,healthy,,4,15,diseased,no-check_tomorrow,,35,36,fell off plug when picture taken; reattached  ,diseased ,yes,192,31,32,,15,dead,,,,,removed,15,dead,na,na,na,na,na,15,dead,na,na,na,na,na,15,dead,na,na,na,na,na,15,dead,na,na,na,na,na,15,dead,na,na,na,na,na,15,dead,na,na,na,na,na,15,dead,na,na,na,na,na,153
120,41,ML2,3,ok,3,4,ambient,disease,4,s_m_placebo,16,157,yes,146,147,healthy,,4,16,healthy,no,,,,,healthy ,,,,,,16,healthy ,,,,,,16,healthy ,,,,,,16,healthy ,,,,,,16,healthy ,,,,,,16,healthy ,,,,,,16,healthy ,,,,,,16,healthy ,,,,,,16,healthy ,,336,,,,41
63,168,CN2,2,ok,6,10,heat,disease,4,s_m_placebo,17,158,yes,148,149,healthy,,4,17,healthy,no,,,,,healthy ,,,,,,17,healthy ,,,,,,17,healthy ,,,,,,17,healthy ,,,,,,17,healthy ,,,,,,17,healthy ,,,,,,17,healthy ,,,,,,17,healthy ,,,,,,17,healthy ,,337,,,,168
2,190,HS1,1,ok,5,9,heat,disease,4,s_marcscens,18,159,yes,150,151,healthy,,4,18,healthy,no,,,,,healthy ,,,,,,18,healthy ,,,,,,18,healthy ,,,,,,18,healthy ,,,,,,18,healthy ,,,,,,18,healthy ,,,,,,18,healthy ,,,,,,18,healthy ,,,,,,18,healthy ,,338,,,,190
132,156,HS1,4,ok,9,13,ambient,disease,4,s_marcscens,19,160,yes,152,153,healthy,,4,19,healthy,no,,,,,healthy ,,,,,,19,healthy ,,,,,,19,healthy ,,,,,,19,healthy ,,,,,,19,healthy ,,,,,,19,healthy ,,,,,,19,healthy ,,,,,,19,healthy ,,,,,,19,healthy ,,339,,,,156
93,162,HS1,3,ok,2,3,ambient,disease,4,placebo_slurry,20,161,yes,154,155,healthy,,4,20,healthy,no,,,,,diseased,YES,196,53,54,check_this_evening,20,dead,,,,,removed,20,dead,na,na,na,na,na,20,dead,na,na,na,na,na,20,dead,na,na,na,na,na,20,dead,na,na,na,na,na,20,dead,na,na,na,na,na,20,dead,na,na,na,na,na,20,dead,na,na,na,na,na,162
33,145,HS1,1,ok,1,1,heat,disease,4,placebo_slurry,21,162,yes,156,157,healthy,,4,21,healthy,no,,,,,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,,,,,21,healthy ,,340,,,,145
79,53,CN4,2,ok,2,3,ambient,disease,4,placebo_slurry,22,163,yes,158,159,healthy,,4,22,healthy,no,,,,,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,,,,,22,healthy ,,341,,,,53
46,101,CN2,2,ok,1,1,heat,disease,4,placebo_slurry,23,164,yes,160,161,healthy,,4,23,healthy,no,,,,,healthy ,,,,,,23,healthy ,,,,,,23,healthy ,,,,,,23,healthy ,,,,,,23,healthy ,,,,,,23,healthy ,,,,,,23,healthy ,,,,,,23,healthy ,,,,,,23,healthy ,,342,,,,101
65,141,HS1,2,ok,3,4,ambient,disease,4,placebo_slurry,24,165,yes,162,163,healthy,,4,24,healthy,no,,,,,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,,,,,24,healthy ,,343,,,,141
104,110,CN2,3,ok,2,3,ambient,disease,4,s_m_placebo,25,166,yes,164,165,healthy,split in two when sampling,4,25,healthy,no,,,,,healthy ,,,,,,25,healthy ,,,,,,25,healthy ,,,,,,25,healthy ,,,,,,25,healthy ,,,,,fell off plug,25,healthy ,,,,,,25,healthy ,,,,,,25,healthy ,,,,,,25,healthy ,,344,,,,110
47,152,HS1,2,ok,2,3,ambient,disease,4,s_m_placebo,26,167,yes,166,167,healthy,,4,26,healthy,no,,,,,healthy ,,,,,,26,healthy ,,,,,,26,healthy ,,,,,,26,healthy ,,,,,,26,healthy ,,,,,,26,healthy ,,,,,,26,healthy ,,,,,,26,healthy ,,,,,,26,healthy ,,345,,,,152
17,40,ML2,1,ok,8,12,heat,disease,4,disease_slurry,27,168,yes,168,169,healthy,,4,27,healthy,no,,,,,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,,,,,27,diseased,,,49,50,,27,diseased,,,49,50,,27,diseased,,"346,347",,,,40
161,78,CN4,4,ok,10,15,heat,disease,4,s_m_placebo,28,169,yes,170,171,healthy,,4,28,healthy,no,,,,,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,348,,,,78
138,83,CN2,4,ok,6,10,heat,disease,4,s_m_placebo,29,170,yes,172,173,healthy,,4,29,healthy,no,,,,,healthy ,,,,,,29,healthy ,,,,,,29,healthy ,,,,,,29,healthy ,,,,,,29,healthy ,,,,,,29,healthy ,,,,,,29,healthy ,,,,,,29,healthy ,,,,,,29,healthy ,,349,,,,83
103,57,CN4,3,ok,3,4,ambient,disease,4,s_m_placebo,30,171,yes,174,175,healthy,,4,30,healthy,no,,,,,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,350,,,,57
157,44,CN4,4,ok,4,8,ambient,disease,4,disease_slurry,31,"172,173",yes,176,177,healthy,,4,31,healthy,no,,,,,healthy ,,,,,,31,healthy ,,,,,,31,healthy ,,,,,,31,healthy ,,,,,,31,healthy ,,,,,,31,healthy ,,,,,,31,healthy ,,,,,,31,healthy ,,,,,,31,healthy ,,351,,,,44
44,84,CN2,2,ok,7,11,ambient,disease,4,s_m_placebo,32,174,yes,178,179,healthy,,4,32,healthy,no,,,,,healthy ,,,,,,32,healthy ,,,,,,32,healthy ,,,,,,32,healthy ,,,,,,32,healthy ,,,,,,32,healthy ,,,,,,32,healthy ,,,,,,32,healthy ,,,,,,32,healthy ,,352,,,,84
171,112,CN2,4,ok,3,4,ambient,disease,4,s_m_placebo,33,175,yes,180,181,healthy,,4,33,healthy,no,,,,,healthy ,,,,,,33,healthy ,,,,,,33,healthy ,,,,,,33,healthy ,,,,,,33,healthy ,,,,,,33,healthy ,,,,,,33,healthy ,,,,,,33,healthy ,,,,,,33,healthy ,,"355,356",,,,112
147,129,HS1,4,ok,9,13,ambient,disease,4,placebo_slurry,34,176,yes,182,183,healthy,,4,34,healthy,no,,,,,healthy ,,,,,,34,healthy ,,,,,,34,healthy ,,,,,,34,healthy ,,,,,,34,healthy ,,,,,,34,healthy ,,,,,,34,healthy ,,,,,,34,healthy ,,,,,,34,healthy ,,353,,,,129
130,172,ML2,3,ok,10,15,heat,disease,4,placebo_slurry,35,177,yes,184,185,healthy,,4,35,healthy,no,,,,,healthy ,,,,,,35,healthy ,,,,,,35,healthy ,,,,,,35,healthy ,,,,,,35,healthy ,,,,,,35,healthy ,,,,,,35,healthy ,,,,,,35,healthy ,,,,,,35,healthy ,,354,,,,172
110,25,ML2,3,ok,5,9,heat,disease,4,placebo_slurry,36,,yes,na,na,na,dead-no_sample,4,36,na,na,na,na,na,na,na,na,na,na,na,na,36,na,na,na,na,na,na,36,na,na,na,na,na,na,36,na,na,na,na,na,na,36,na,na,na,na,na,na,36,na,na,na,na,na,na,36,na,na,na,na,na,na,36,na,na,na,na,na,na,36,na,na,na,na,na,na,25
121,123,CN2,3,ok,4,8,ambient,disease,4,disease_slurry,37,178,yes,186,187,healthy,,4,37,healthy,no,,,,,healthy ,,,,,,37,healthy ,,,,,,37,healthy ,,,,,,37,diseased,,,37,38,,37,diseased,,,55,56,,37,dead,yes,209,51,52,,37,dead,na,na,na,na,na,37,dead,na,na,na,na,na,37,dead,na,na,na,na,na,123
102,10,ML2,3,ok,9,13,ambient,disease,4,placebo_slurry,38,179,yes,188,189,healthy,,4,38,healthy,no,,,,,healthy ,,,,,,38,healthy ,,,,,,38,healthy ,,,,,,38,healthy ,,,,,,38,healthy ,,,,,,38,healthy ,,,,,,38,healthy ,,,,,,38,healthy ,,,,,,38,,,"357,358",,,,10
170,31,ML2,4,ok,1,1,heat,disease,4,s_m_placebo,39,180,yes,190,191,healthy,,4,39,healthy,no,,,,,healthy ,,,,,,39,healthy ,,,,,,39,healthy ,,,,,,39,healthy ,,,,,,39,healthy ,,,,,,39,healthy ,,,,,,39,healthy ,,,,,,39,healthy ,,,,,,39,,,"359,360",,,,31
90,95,CN2,3,ok,8,12,heat,disease,4,s_marcscens,40,"181,182",yes,192,193,healthy,,4,40,healthy,no,,,,,diseased,,,55,56,,40,diseased,yes,200,131,132,,40,diseased,,,169,170, ,40,diseased,,,35,36,,40,diseased,,,53,54,,40,diseased,,,53,54,check this evening,40,diseased,yes,212,51,52,check this evening,40,dead,,,51,52,removed,40,dead,na,na,na,na,na,95
39,166,CN2,1,ok,5,9,heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,62,CN4,4,ok,6,10,heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,65,CN4,4,ok,5,9,heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,175,CN4,3,ok,10,15,heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
