,Frag_number,Genotype,Recovery_tank,Recovery_notes,Heat_stress_tank,ERL_tank_number,Tank_treatment,Disease_treatment?,D_touch_tank,D_treatment,Jar_allocation,sample_tubes,photos_initial,photo_number,photo_bw_hole,Initial_health,initial_notes,D_touch_tank,Jar_allocation,8aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,9aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,10aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,11aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,12aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,13aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,14aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,15aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,16aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,17aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Frag_number
22,26,ML2,1,ok,3,4,ambient,disease,1,s_m_placebo,25,"31,32",yes,205,206,healthy,,1,25,healthy,no,,,,,healthy ,,,,,,25,healthy ,,,,,,25,healthy ,,,,,,25,healthy ,,,,,,25,healthy ,,,,,,25,healthy ,,,,,,25,healthy ,,,,,,25,healthy ,,,,,,25,healthy ,,243,39,40,,26
169,178,CN4,4,ok,7,11,ambient,disease,1,disease_slurry,26,33,yes,207,208,healthy,,1,26,healthy,no,,,,,healthy ,,,,,,26,healthy ,,,,,,26,healthy ,,,,,,26,healthy ,,,,,,26,healthy ,,,,,,26,diseased,,,7,8,,26,diseased,,,7,8,,26,diseased,,,9,10,,26,diseased,,"244,245",41,42,,178
40,161,HS1,1,ok,9,13,ambient,disease,1,s_m_placebo,27,34,yes,209,210,healthy,,1,27,healthy,no,,,,,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,,,,,27,healthy ,,246,43,44,,161
13,49,CN4,1,ok,3,4,ambient,disease,1,s_m_placebo,28,35,yes,211,212,healthy,,1,28,healthy ,no,,,,,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,,,,,28,healthy ,,247,45,46,,49
160,159,HS1,4,ok,3,4,ambient,disease,1,disease_slurry,29,36,yes,213,214,healthy,,1,29,dead,no-no_tissue,,9,10,,dead,no-no_tissue,,,,REMOVED,29,dead,na,na,na,na,na,29,dead,na,na,na,na,na,29,dead,na,na,na,na,na,29,dead,na,na,na,na,na,29,dead,na,na,na,na,na,29,dead,na,na,na,na,na,29,dead,na,na,na,na,na,29,dead,na,na,na,na,na,159
34,4,ML2,1,ok,2,3,ambient,disease,1,disease_slurry,30,37,yes,215,216,healthy,,1,30,healthy,no,,,,,healthy,,,,,,30,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,,,,,30,healthy ,,,,,,30,diseased,,,9,10,,30,diseased,,,9,10,,30,diseased,,,11,12,,30,diseased,,248,47,48,,4
5,144,HS1,1,ok,8,12,heat,disease,1,s_m_placebo,31,38,yes,217,218,unhealthy,,1,31,diseased,YES,184,11,12,,diseased,,,9,10,,31,dead,,,101,102,removed,31,dead,na,na,na,na,na,31,dead,na,na,na,na,na,31,dead,na,na,na,na,na,31,dead,na,na,na,na,na,31,dead,na,na,na,na,na,31,dead,na,na,na,na,na,31,dead,na,na,na,na,na,144
75,51,CN4,2,ok,5,9,heat,disease,1,s_marcscens,32,39,yes,219,220,healthy,,1,32,healthy,no,,,,,healthy,,,,,,32,healthy ,,,,,,32,healthy ,,,,,,32,healthy ,,,,,,32,diseased,,,9,10,,32,diseased,,,11,12,,32,diseased,,,11,12,,32,diseased,yes,215,13,14,check this evening,32,diseased,,"249,250",49,50,,51
124,170,ML2,3,ok,10,15,heat,disease,1,disease_slurry,33,40,yes,221,222,healthy,,1,33,healthy ,no,,,,,healthy,,,,,,33,healthy ,,,,,,33,healthy ,,,,,,33,diseased,,,5,6,,33,diseased,,,11,12,,33,diseased,,,13,14,check before leaving,33,dead,yes,210,13,14,removed,33,dead,na,na,na,na,na,33,dead,na,na,na,na,na,170
111,163,CN2,3,ok,6,10,heat,disease,1,disease_slurry,34,"41,42",yes,223,224,healthy,,1,34,healthy ,no,,,,,diseased,,,35,36,,34,diseased,,,103,104,,34,dead,,,137,138,removed,34,dead,na,na,na,na,na,34,dead,na,na,na,na,na,34,dead,na,na,na,na,na,34,dead,na,na,na,na,na,34,dead,na,na,na,na,na,34,dead,na,na,na,na,na,163
